case_id	source_class	input_ref	format	role	source_ref	expected_sha256
generated-001	generated	fixtures/generated/pdf-budget-near-limit-minus-4k.pdf	pdf	boundary	qa/generate-boundary-fixtures.mjs	66952d2b15a1f4561acef96eb29c8ef31a20a87f20bbc84c70184a292309f161
generated-002	generated	fixtures/generated/pdf-budget-over-16mib.pdf	pdf	boundary	qa/generate-boundary-fixtures.mjs	8c144797d30d78317fe12e366f276efa3c10a5e363dafb4619a92a5619fb6aea
generated-003	generated	fixtures/generated/pdf-budget-safe-16mib-minus-8.pdf	pdf	boundary	qa/generate-boundary-fixtures.mjs	6c03a939f1b86f5eace179a00d9b833018ae4edd3b8e6d31605d6e9667710cb1
generated-004	generated	fixtures/generated/pdf-budget-under-16mib.pdf	pdf	boundary	qa/generate-boundary-fixtures.mjs	aacd4eea54f17bf5f00ce8b00da2bb88dfb0736916dd2922ec8aa57a79333dd8
generated-005	generated	fixtures/generated/pdf-large-32mib.pdf	pdf	boundary	qa/generate-boundary-fixtures.mjs	5431c475cd29345caae48180d6e6c33a985eb4e7e7835d12ca266cadc456182e
private-001	private	private-001	local	user-local	local-only	not-published
private-002	private	private-002	local	user-local	local-only	not-published
private-003	private	private-003	local	user-local	local-only	not-published
private-004	private	private-004	local	user-local	local-only	not-published
private-005	private	private-005	local	user-local	local-only	not-published
private-006	private	private-006	local	user-local	local-only	not-published
private-007	private	private-007	local	user-local	local-only	not-published
private-008	private	private-008	local	user-local	local-only	not-published
private-009	private	private-009	local	user-local	local-only	not-published
private-010	private	private-010	local	user-local	local-only	not-published
private-011	private	private-011	local	user-local	local-only	not-published
private-012	private	private-012	local	user-local	local-only	not-published
public-001	public	fixtures/public/apache-pdfbox/embedded-attachment.pdf	pdf	public	apache/pdfbox@bb678648ac6099e3a42e67954ff3ee4646a1f4e3	8f22a77cba7532516a486fea9e5e73cb834461d8a9bb1a4dc98185a825ddbe4a
public-002	public	fixtures/public/apache-pdfbox/encrypted-preexisting.pdf	pdf	public	apache/pdfbox@bb678648ac6099e3a42e67954ff3ee4646a1f4e3	3d756cc7b12b54955288646d846202c5e09038c8e5a32fc49c65a316a937f209
public-003	public	fixtures/public/apache-pdfbox/fill-form.pdf	pdf	public	apache/pdfbox@bb678648ac6099e3a42e67954ff3ee4646a1f4e3	1fe658a3068f516d4b47a70d6768141b954a4bcab1387674c54e6dd4f0b98732
public-004	public	fixtures/public/apache-pdfbox/form-complex-1mb.pdf	pdf	public	apache/pdfbox@bb678648ac6099e3a42e67954ff3ee4646a1f4e3	06904a2bd5a2733152f9f5540de3d843f02552f8a611e7862c6b33cb192992db
public-005	public	fixtures/public/apache-pdfbox/password-sample-128bit.pdf	pdf	security-password	apache/pdfbox@bb678648ac6099e3a42e67954ff3ee4646a1f4e3	1919480aba35617d69a1f9e1dce30bbe6864b3906d5c136fd7a8837826f9f750
public-006	public	fixtures/public/apache-pdfbox/render-demo.pdf	pdf	public	apache/pdfbox@bb678648ac6099e3a42e67954ff3ee4646a1f4e3	642d8b759eaff6913a1dc66256f42a0c9c311e01a615abb0c98fda2b3bc7e58f
public-007	public	fixtures/public/apache-poi/complex-2.9mb.docx	docx	public	apache/poi@bbf2e879c36fcd837fd1e7579f9f82cfba88883e	748f34f3dc285f4d48474930758b2c37382d17965545a1729cb7400cada793da
public-008	public	fixtures/public/apache-poi/complex-geometry.ppt	ppt	public	apache/poi@bbf2e879c36fcd837fd1e7579f9f82cfba88883e	f2ff935113a5018142dc97ff0a9f9532f109aaee503756dc724dc9ce4aabe199
public-009	public	fixtures/public/apache-poi/conditional-formatting.xls	xls	public	apache/poi@bbf2e879c36fcd837fd1e7579f9f82cfba88883e	d1942d857ffbd4d10ebca1745cd5d70c14af9d9f1388c91ed0a0800e31ad5ce7
public-010	public	fixtures/public/apache-poi/embedded-ooxml.doc	doc	public	apache/poi@bbf2e879c36fcd837fd1e7579f9f82cfba88883e	032d225f3437e8c3f126b45869056b603292cbb9d077ead55b312293e8e829c5
public-011	public	fixtures/public/apache-poi/keynote-export.pptx	pptx	public	apache/poi@bbf2e879c36fcd837fd1e7579f9f82cfba88883e	426b532f79586c354750ba41f7ce6b0a3e153263b2a6db15c885a0c20e0fa6c4
public-012	public	fixtures/public/apache-poi/libreoffice-complex.xlsx	xlsx	public	apache/poi@bbf2e879c36fcd837fd1e7579f9f82cfba88883e	e6dbe8f5da66804b39f17f02183a63005a7c418d636ad5d43f21b9d39f22e800
public-013	public	fixtures/public/apache-poi/pivot-table.xlsx	xlsx	public	apache/poi@bbf2e879c36fcd837fd1e7579f9f82cfba88883e	f0ef1d61c9f3d8b27b18a876b8e24676314c6450ed64a725a7bfaa603fdd67e3
public-014	public	fixtures/public/apache-poi/sample-simple.doc	doc	public	apache/poi@bbf2e879c36fcd837fd1e7579f9f82cfba88883e	717585c0a88f20862c86220163dd03da87cd743970354c6b29add32725f2e833
public-015	public	fixtures/public/apache-poi/sample-simple.docx	docx	public	apache/poi@bbf2e879c36fcd837fd1e7579f9f82cfba88883e	ea2c517bd7be4628887eb97f630334b93b894f4522d2c0adae263e602d76df92
public-016	public	fixtures/public/apache-poi/sample-simple.ppt	ppt	public	apache/poi@bbf2e879c36fcd837fd1e7579f9f82cfba88883e	64275a6685b8f267827178037dcc59de927475e56385725916f4c6039c7ce7f6
public-017	public	fixtures/public/apache-poi/sample-simple.pptx	pptx	public	apache/poi@bbf2e879c36fcd837fd1e7579f9f82cfba88883e	bfb4b2f07c9233afd2f32aa5781d849d0c7d225bf03721a10becf487b481d828
public-018	public	fixtures/public/apache-poi/sample-simple.xls	xls	public	apache/poi@bbf2e879c36fcd837fd1e7579f9f82cfba88883e	2b5ec8298bacffdca61c50f6f7607da0a4e63cf76fa011c62f203e6a66bc072a
public-019	public	fixtures/public/apache-poi/with-macros.ppt	ppt	security-macros	apache/poi@bbf2e879c36fcd837fd1e7579f9f82cfba88883e	b11f51046ee699b72e29a53adffe71161a59a2bb5f9369839834c974d7690a61
public-020	public	fixtures/public/libetonyek/keynote-v5.key	key	public	LibreOffice/libetonyek@37704aa6ac808fe7f7a14b4515503c3de3bc0dbf	152d865897b4109c2d4925c66bd208d00b46d207ba46a95aebe6e8e78cab7a68
public-021	public	fixtures/public/libetonyek/keynote-v6.key	key	public	LibreOffice/libetonyek@37704aa6ac808fe7f7a14b4515503c3de3bc0dbf	47d9cd0cf08b8c1157255d7d9299418b79adb2272e2b5966e6133deedd22441a
public-022	public	fixtures/public/libetonyek/numbers-v2.numbers	numbers	public	LibreOffice/libetonyek@37704aa6ac808fe7f7a14b4515503c3de3bc0dbf	761c075a78724084f28cd54e099737ba1a71c34a0f3af7be677b5a1ae736de42
public-023	public	fixtures/public/libetonyek/numbers-v3.numbers	numbers	public	LibreOffice/libetonyek@37704aa6ac808fe7f7a14b4515503c3de3bc0dbf	a37aeccdd6413e8aa74c68d6dcd173351494946ea85a07e759aaf16b9855f1ae
public-024	public	fixtures/public/libetonyek/pages-v4.pages	pages	public	LibreOffice/libetonyek@37704aa6ac808fe7f7a14b4515503c3de3bc0dbf	793d9ece44e30c646a6b0c1d19e1feb314f94c2850e5da6d159326cd17991b4f
public-025	public	fixtures/public/libetonyek/pages-v5-extra-dir.pages	pages	public	LibreOffice/libetonyek@37704aa6ac808fe7f7a14b4515503c3de3bc0dbf	8fe56cd6789618918c444267df070e83032a7973f56d5d2d4694238adb501f26
public-026	public	fixtures/public/libetonyek/pages-v5.pages	pages	public	LibreOffice/libetonyek@37704aa6ac808fe7f7a14b4515503c3de3bc0dbf	b5de90dfa78077c62e1c88ddaa188e412ffa9dd31558e2774715733f9d58dfe7
public-027	public	fixtures/public/numbers-parser/corrupted.numbers	numbers	public	masaccio/numbers-parser@e64dde7f012c737a9b39204cd98430b955d6962f	a9859ea8a814eebc804b4575a23faa33dda87b1b1ed7f6627a94c399809210ee
public-028	public	fixtures/public/numbers-parser/custom-format-stress.numbers	numbers	public	masaccio/numbers-parser@e64dde7f012c737a9b39204cd98430b955d6962f	529196077312a30ffab7abb63c9e2891f2f5995ebf89f1c400ad7f0a39a93728
public-029	public	fixtures/public/numbers-parser/test-basic.numbers	numbers	public	masaccio/numbers-parser@e64dde7f012c737a9b39204cd98430b955d6962f	b9e9772b2d2866c26d773fe46a173c373c7dc1dd3df6cefc7f0253b6ab50d4c3
